,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L,net p&l,funds
145,PIDILITIND,2022-08-05 10:15:00,2022-08-05 15:00:00,2637.8,2617.5,2022-08-05 10:15:00,2022-08-05 15:00:00,2617.5,2637.8,2617.5,2637.8,StopLoss,upper,2637.8,-20.300000000000182,-426.3000000000038,88529.70000000008
146,GAIL,2022-08-05 10:45:00,2022-08-05 10:15:00,89.8,89.33,2022-08-05 10:15:00,2022-08-05 10:45:00,89.8,89.33,89.33,89.8,StopLoss,lower,89.33,-0.4699999999999989,-442.26999999999896,88529.70000000008
147,INDUSTOWER,2022-08-10 10:45:00,2022-08-10 10:15:00,194.35,193.6,2022-08-10 10:15:00,2022-08-10 10:45:00,194.35,193.6,193.6,194.35,StopLoss,lower,193.6,-0.75,-438.0,87661.13000000008
148,YESBANK,2022-08-12 10:15:00,2022-08-12 10:00:00,15.25,15.15,2022-08-12 10:00:00,2022-08-12 10:15:00,15.25,15.15,15.15,15.25,StopLoss,lower,15.15,-0.09999999999999963,-436.0999999999984,87223.13000000008
149,APOLLOTYRE,2022-08-17 10:00:00,2022-08-17 11:30:00,260.25,257.75,2022-08-17 10:00:00,2022-08-17 11:30:00,257.75,260.25,257.75,260.25,StopLoss,upper,260.25,-2.5,-432.5,86787.03000000009
150,SBICARD,2022-08-17 10:15:00,2022-08-17 15:00:00,1018.25,1013.5,2022-08-17 10:15:00,2022-08-17 15:00:00,1013.5,1003.0,1013.5,1003.0,DayEnd,upper,1018.25,10.5,955.5,86787.03000000009
151,TRENT,2022-08-18 10:00:00,2022-08-18 15:00:00,1518.3,1507.4,2022-08-18 10:00:00,2022-08-18 15:00:00,1507.4,1456.4,1507.4,1456.4,DayEnd,upper,1518.3,51.0,2040.0,87310.03000000009
152,HINDPETRO,2022-08-24 13:00:00,2022-08-24 10:00:00,238.45,238.0,2022-08-24 10:00:00,2022-08-24 13:00:00,238.45,238.0,238.0,238.45,StopLoss,lower,238.0,-0.44999999999998863,-446.3999999999887,89350.03000000009
153,NAUKRI,2022-08-26 10:00:00,2022-08-26 15:00:00,4624.9,4567.05,2022-08-26 10:00:00,2022-08-26 15:00:00,4567.05,4458.0,4567.05,4458.0,DayEnd,upper,4624.9,109.0500000000002,763.3500000000014,88903.63000000009
154,ESCORTS,2022-09-02 10:15:00,2022-09-02 11:15:00,2074.8,2057.3,2022-09-02 10:15:00,2022-09-02 11:15:00,2057.3,2074.8,2057.3,2074.8,StopLoss,upper,2074.8,-17.5,-437.5,89666.9800000001
155,PIDILITIND,2022-09-02 10:00:00,2022-09-02 15:00:00,2892.0,2879.3,2022-09-02 10:00:00,2022-09-02 15:00:00,2879.3,2865.4,2879.3,2865.4,DayEnd,upper,2892.0,13.900000000000093,486.50000000000324,89666.9800000001
